client_id,first_name,last_name,date_of_birth,phone,email,first_purchase,address_city,address_street,address_localite,address_postcode,address_canton
Z1-2225791V,Maria,Candaux,1950-07-11,+41 51 122 59 87,mcandaux311@hispeed.ch,2020-01-01,Konolfingen,Hötschigen 551,Konolfingen,3510,BE
n5-9547686e,Gilbert,Bahon,1965-04-20,+41 79 707 59 48,g.bahon@hotmail.fr,2020-01-01,Freienbach,Kantonsstrasse 24.3,Freienbach,8807,SZ
b4-7966766T,Laurent,Vallélian,1996-08-22,+41 (0)84 645 33 81,lvallelian@yahoo.fr,2020-01-01,Oberdorf NW,Grumelen 1b,Oberdorf NW,6370,NW
S9-3623700t,Thierry,Diesbach,1940-09-09,+41 (0)22 149 15 12,t.diesbach@romandie.com,2020-01-01,Lancy,Chemin de la Vendée 22,Petit-Lancy,1213,GE
L9-0962901O,Michel,Gillièron,1934-09-01,+41 (0)44 733 28 89,mgillieron186@romandie.com,2020-01-01,Préverenges,Chemin des Condémines 36b,Préverenges,1028,VD
M8-5788593i,Laura,Robert,1956-07-29,+41 (0)93 319 69 60,lrobert@yahoo.fr,2020-01-01,Unterkulm,Wynamattstrasse 15,Unterkulm,5726,AG
k8-7786474F,Vincent,Brandt,1995-01-09,+41 (0)97 882 32 99,v.brandt@hotmail.fr,2020-01-02,Amriswil,Weiherstrasse 12,Amriswil,8580,TG
h4-1945101A,René,Vonlanthen,1995-02-14,+41 (0)44 833 76 11,rvonlanthen@romandie.com,2020-01-02,Grenchen,Weissensteinstrasse 2a,Grenchen,2540,SO
c4-2957197c,Nicole,Monnet,1994-03-19,050 309 87 19,nicolemonnet@hotmail.fr,2020-01-02,Schaffhausen,Fulachstrasse 259,Schaffhausen,8200,SH
V2-3192466U,Théo,Martin,1964-11-13,+41 36 859 02 40,t_martin@bluewin.ch,2020-01-02,Conthey,Rue Centrale 103,Conthey,1964,VS
s6-2652879Z,Florian,Barillon,1962-01-06,+41 71 509 65 21,florianbarillon@romandie.com,2020-01-02,Zug,Kirchenstrasse 15a,Zug,6300,ZG
N6-2577637v,Jacqueline,Cousin,2001-02-01,+41 (0)42 969 14 01,jcousin249@hispeed.ch,2020-01-02,Lausanne,Chemin du Devin 53,Lausanne,1012,VD
g5-7504128b,Jean,Vienne,1982-09-25,+41 (0)27 931 61 01,jean.vienne@bluewin.ch,2020-01-02,Steinmaur,Obergasse 6a,Steinmaur,8162,ZH
M6-4063913C,Marianne,Saudan,2004-01-23,+41 86 088 06 14,m.saudan401@sunrise.ch,2020-01-03,Wädenswil,Himmeri 7.4,Wädenswil,8820,ZH
G2-8981935t,Stéphanie,Balmat,1998-07-26,+41 (0)31 846 99 54,stephanie_balmat252@bluewin.ch,2020-01-03,Plan-les-Ouates,Chemin des Bougeries 16,Plan-les-Ouates,1228,GE
F4-6618694W,Nicolas,Rosselet,1980-01-30,+41 (0)52 642 35 21,nicolas_rosselet23@vtxnet.ch,2020-01-03,Regensdorf,Wiesackerstrasse 100,Regensdorf,8105,ZH
W9-354585n,Charlotte,Carron,1975-05-26,+41 (0)23 914 59 59,charlotte.carron955@sunrise.ch,2020-01-03,Langnau im Emmental,Viehmarktstrasse 1a,Langnau im Emmental,3550,BE
Z2-8354721g,Frédéric,Délèze,1993-01-19,+41 (0)94 163 41 13,frederic_deleze@yahoo.fr,2020-01-03,Chamoson,Rue de Latigny 2,Chamoson,1955,VS
G8-952873c,Josiane,Rapraz,1992-03-18,+41 (0)81 801 87 63,jrapraz@gmail.com,2020-01-04,Attiswil,Solothurnstrasse 57c,Attiswil,4536,BE
n3-534944N,Camille,Bouvier,1990-10-09,060 484 58 33,camille.bouvier@hispeed.ch,2020-01-04,Lotzwil,Langenthalstrasse 49b,Lotzwil,4932,BE
k1-6023428T,Véronique,Marti,1957-04-23,+41 (0)90 391 00 29,veronique.marti348@bluewin.ch,2020-01-04,Hasle LU,Heiligkreuzstrasse 9,Hasle LU,6166,LU
U7-1537669E,Alain,Maire,1968-10-08,+41 (0)82 671 48 01,amaire615@vtxnet.ch,2020-01-04,Beromünster,Gärbigass 7,Beromünster,6215,LU
q2-1074451G,Léa,Coigny,1983-01-19,+41 96 517 58 04,l_coigny381@gmail.com,2020-01-04,Zürich,Riedenhaldenstrasse 5,Zürich,8046,ZH
S1-0168817b,Maria,Bochud,1962-08-28,+41 44 089 35 59,m_bochud351@hotmail.fr,2020-01-04,Uster,Oberrietstrasse 2.5,Uster,8610,ZH
z0-9911832N,Nicole,Marti,1939-05-30,028 739 39 25,nicolemarti748@sunrise.ch,2020-01-05,Brienzwiler,Ballenberg 1024z,Brienzwiler,3856,BE
c3-0336690u,Alicia,Vallélian,1988-07-28,+41 97 630 23 92,aliciavallelian@hotmail.fr,2020-01-05,Thal,Dorfstrasse 30b,Thal,9425,SG
J6-4475671A,Gérard,Meyer,1943-04-20,021 630 38 88,gerardmeyer52@yahoo.fr,2020-01-05,Belp,Neumattstrasse 26,Belp,3123,BE
u3-8761955I,Jeanne,Gubéran,1954-06-01,+41 31 800 55 02,j.guberan@bluewin.ch,2020-01-05,Zürich,Roswiesenstrasse 145,Zürich,8051,ZH
j2-0656395l,Christian,Monnard,1967-01-17,+41 (0)90 185 45 30,c_monnard361@vtxnet.ch,2020-01-05,Hefenhofen,Chirchägger 15,Hefenhofen,8580,TG
Y0-0651631I,Loïc,Badel,1982-09-06,037 992 79 58,l.badel@sunrise.ch,2020-01-06,Zürich,Hönggerstrasse 97,Zürich,8037,ZH
S5-0768300P,Marie,Barbey,1977-12-10,026 187 58 84,m_barbey@hotmail.fr,2020-01-06,Einsiedeln,Furrenmatte 5,Einsiedeln,8840,SZ
J7-2014257g,Marguerite,Carron,1976-05-29,062 327 32 74,marguerite.carron4@yahoo.fr,2020-01-06,Winterthur,Hündlerstrasse 85d.1,Winterthur,8406,ZH
N2-2033122g,Thomas,Rappaz,1999-01-29,+41 (0)62 576 53 78,trappaz@vtxnet.ch,2020-01-06,Neuhausen am Rheinfall,Zollstrasse 50,Neuhausen am Rheinfall,8212,SH
x8-4228853n,Daniel,Courvoisier,1956-05-19,040 289 55 03,dcourvoisier831@hispeed.ch,2020-01-06,Lommiswil,Schulhausstrasse 8,Lommiswil,4514,SO
c2-0021647c,José,Tinguely,1934-06-13,+41 (0)92 546 03 74,jose_tinguely776@romandie.com,2020-01-06,Volketswil,Austrasse 30,Volketswil,8604,ZH
x6-913513p,Henri,Jacot-Guillarmod,1953-08-09,+41 (0)70 097 28 65,h_jacot-guillarmod778@sunrise.ch,2020-01-07,Villars-sur-Glâne,Route du Platy 16,Villars-sur-Glâne,1752,FR
M0-880988E,Lucie,Comte,1950-04-04,023 988 35 82,l_comte113@gmail.com,2020-01-07,Oberbüren,Juchwisstrasse 3,Oberbüren,9245,SG
J9-5986341T,Hélène,Bonvini,1988-05-11,079 182 47 55,h_bonvini@hotmail.fr,2020-01-07,Wallisellen,Herzogenmühle 10a,Wallisellen,8304,ZH
T5-9707333V,Marcelle,Quartier,1995-01-07,+41 53 716 52 23,m_quartier@vtxnet.ch,2020-01-07,Kreuzlingen,Oberer Schulweg 4,Kreuzlingen,8280,TG
q1-6727958Z,Liliane,Chatriand,1983-06-26,+41 74 858 11 30,liliane.chatriand@yahoo.fr,2020-01-07,Céligny,Chemin du Port 10.1,Céligny,1298,GE
c8-1991556q,Josiane,Mercier,1999-04-09,+41 (0)54 968 99 39,jmercier711@romandie.com,2020-01-08,Romont FR,Chemin de la Montagne 6n,Romont FR,1680,FR
M0-9595342a,Maria,Galland,1934-04-19,+41 (0)56 713 59 28,maria_galland67@gmail.com,2020-01-08,Montreux,Grand-Rue 34,Montreux,1820,VD
V2-5875881u,David,Bourquard,1957-07-17,+41 (0)98 488 40 17,d.bourquard218@sunrise.ch,2020-01-08,Zürich,Berninastrasse 52a,Zürich,8057,ZH
b4-6148360D,Hélène,Barbey,1984-08-28,+41 (0)96 858 98 62,helenebarbey@bluewin.ch,2020-01-08,Plasselb,Falli-Hölli-Strasse 215b,Plasselb,1737,FR
r7-9236980S,Nolan,Bahon,1949-09-26,+41 41 851 91 51,nolan_bahon305@yahoo.fr,2020-01-08,Richterswil,Gerbestrasse 2,Richterswil,8805,ZH
O4-9123805T,Laura,Mottet,1984-11-28,+41 (0)58 289 86 56,l.mottet403@hotmail.fr,2020-01-09,Lucens,Chemin de la Forêt 22,Lucens,1522,VD
K5-3153252B,Aurélie,Aeby,1999-02-08,+41 35 452 16 75,aurelie_aeby@bluewin.ch,2020-01-09,Schötz,Fadenwegring 1,Schötz,6247,LU
o6-1021322r,Loïc,Berberat,1965-09-12,+41 96 870 90 72,loic_berberat116@vtxnet.ch,2020-01-09,Birsfelden,Auhafenstrasse 37c,Birsfelden,4127,BL
X6-8715767l,Manon,Grosjean,1993-12-21,+41 98 806 72 26,manon_grosjean@hotmail.fr,2020-01-09,Blonay - Saint-Légier,Chemin du Grammont 11b,St-Légier-La Chiésaz,1806,VD
