start_date,end_date,department,contract,class,employee_id,fisrt_name,last_name,date_of_birth,phone,email,education_level,adress_street,adress_city,adress_postcode,CANTON
2019-12-01,2020-11-30,Direction,CDI,5,EC-367LR8653,Elisabeth,Beguin,1961-05-10,039 343 31 71,elisabeth_beguin@bluewin.ch,Doctorate,Stirnrütistrasse 51,Horw,6048,LU
2019-12-01,2020-05-31,Ventes,externe,1,EC-249Os4267,Stéphane,Deshusses,1966-09-15,+41 86 340 58 52,sdeshusses65@gmail.com,Master,Zielweg 252,Rünenberg,4497,BL
2019-12-01,2020-11-30,Ressources humaines,CDI,2,EC-010QT8649,Laurence,Rosselet,1991-12-08,+41 (0)62 733 31 63,l_rosselet@sunrise.ch,Secondary,Gibelrain 1,Flüeli-Ranft,6073,OW
2019-12-01,2020-11-30,Relations client,CDI,1,EC-062nm4048,Roland,Marti,1988-12-14,+41 (0)42 686 72 00,roland_marti@gmail.com,Master,Hof Brüggli 260c,Ormalingen,4466,BL
2020-11-30,2021-11-29,Relations client,CDI,2,EC-062nm4048,Roland,Marti,1988-12-14,+41 (0)42 686 72 00,roland_marti@gmail.com,Master,Hof Brüggli 260c,Ormalingen,4466,BL
2020-01-01,2020-12-31,Informatique,CDI,1,EC-181wU4211,Vanessa,Jacot-Descombes,2002-08-13,+41 (0)39 109 71 56,v_jacot-descombes@hispeed.ch,Master,Chemin du Furet 11,Lausanne,1018,VD
2020-12-31,2021-12-30,Informatique,CDI,1,EC-181wU4211,Vanessa,Jacot-Descombes,2002-08-13,+41 (0)39 109 71 56,v_jacot-descombes@hispeed.ch,Master,Chemin du Furet 11,Lausanne,1018,VD
2021-12-30,2022-12-29,Informatique,CDI,1,EC-181wU4211,Vanessa,Jacot-Descombes,2002-08-13,+41 (0)39 109 71 56,v_jacot-descombes@hispeed.ch,Master,Chemin du Furet 11,Lausanne,1018,VD
2022-12-29,2023-12-28,Informatique,CDI,1,EC-181wU4211,Vanessa,Jacot-Descombes,2002-08-13,+41 (0)39 109 71 56,v_jacot-descombes@hispeed.ch,Master,Chemin du Furet 11,Lausanne,1018,VD
2020-01-01,2020-12-31,Relations client,CDD,1,EC-806ll5361,Germaine,Sansonnens,1972-05-16,+41 30 169 07 94,gsansonnens986@sunrise.ch,Master,Terrassenweg 84,Konolfingen,3510,BE
2020-01-01,2020-12-31,Infrastructure,CDD,4,EC-836pM9826,Isabelle,Duroux,1974-02-25,+41 74 507 82 89,i.duroux909@sunrise.ch,Master,Route de l'Ancien Stand 7a,Romont FR,1680,FR
2020-01-01,2020-12-31,Ventes,CDI,1,EC-427bm2140,Denise,Romanens,2003-07-13,+41 49 581 13 27,d_romanens@hispeed.ch,Bachelor,Route du Roule 31c,Marly,1723,FR
2020-01-01,2020-12-31,Relations client,CDI,3,EC-584iu3201,Maxime,Cretton,1961-09-14,072 375 42 02,maxime.cretton29@sunrise.ch,Master,Route de la Bruyère 14b,La Sarraz,1315,VD
2020-01-01,2020-12-31,Direction,CDI,5,EC-895ZG8356,René,Berberat,1989-11-15,027 856 59 08,r.berberat663@bluewin.ch,Secondary,Allmendlistrasse 7,Hergiswil NW,6052,NW
2020-01-01,2020-12-31,Ressources humaines,CDI,2,EC-117en8919,Suzanne,Marty,1970-05-28,029 153 08 76,suzanne.marty423@yahoo.fr,Bachelor,Zumbachstrasse 26,Spiegel b. Bern,3095,BE
2020-01-01,2020-12-31,Relations client,CDD,2,EC-918vy3339,Kevin,Humbert,1961-02-18,078 655 55 76,khumbert70@vtxnet.ch,Master,Heimstrasse 42,Bern,3018,BE
2020-01-01,2020-12-31,Analytique,CDI,4,EC-259Hr5409,Corinne,Curdy,1998-08-15,+41 36 030 28 25,c.curdy@gmail.com,Master,Schwalbenweg 3,Schwadernau,2556,BE
2020-01-01,2020-12-31,Ventes,CDI,4,EC-176Fo7151,Georges,Gilliéron,1979-04-05,068 889 40 53,g.gillieron@romandie.com,Master,Hinterdorf 11a,Bühl b. Aarberg,3274,BE
2020-12-31,2021-12-30,Ventes,CDI,4,EC-176Fo7151,Georges,Gilliéron,1979-04-05,068 889 40 53,g.gillieron@romandie.com,Master,Hinterdorf 11a,Bühl b. Aarberg,3274,BE
2021-12-30,2022-12-29,Ventes,CDI,4,EC-176Fo7151,Georges,Gilliéron,1979-04-05,068 889 40 53,g.gillieron@romandie.com,Master,Hinterdorf 11a,Bühl b. Aarberg,3274,BE
2022-12-29,2023-12-28,Ventes,CDI,4,EC-176Fo7151,Georges,Gilliéron,1979-04-05,068 889 40 53,g.gillieron@romandie.com,Master,Hinterdorf 11a,Bühl b. Aarberg,3274,BE
2020-01-01,2020-03-31,Relations client,stage,1,EC-779Ha3478,Sébastien,Théraulaz,1961-03-21,+41 34 090 86 60,sebastientheraulaz371@vtxnet.ch,Doctorate,Seeblickstrasse 7.2,Schmerikon,8716,SG
2020-03-31,2021-03-30,Relations client,CDI,2,EC-779Ha3478,Sébastien,Théraulaz,1961-03-21,+41 34 090 86 60,sebastientheraulaz371@vtxnet.ch,Doctorate,Seeblickstrasse 7.2,Schmerikon,8716,SG
2020-01-01,2020-12-31,Analytique,CDI,1,EC-450Sn5540,Nelly,Bourquard,1970-07-04,060 922 76 42,nellybourquard@hispeed.ch,Master,Route de Moudon 15e,Ursy,1670,FR
2020-12-31,2021-12-30,Analytique,CDI,1,EC-450Sn5540,Nelly,Bourquard,1970-07-04,060 922 76 42,nellybourquard@hispeed.ch,Master,Route de Moudon 15e,Ursy,1670,FR
2021-12-30,2022-12-29,Analytique,CDI,2,EC-450Sn5540,Nelly,Bourquard,1970-07-04,060 922 76 42,nellybourquard@hispeed.ch,Master,Route de Moudon 15e,Ursy,1670,FR
2020-01-01,2020-12-31,Analytique,CDI,4,EC-025yJ3669,Antonio,Besançon,1975-01-10,+41 21 163 81 19,antonio.besancon970@vtxnet.ch,Master,Alte Buchserstrasse 9b,Dällikon,8108,ZH
2020-12-31,2021-12-30,Analytique,CDI,4,EC-025yJ3669,Antonio,Besançon,1975-01-10,+41 21 163 81 19,antonio.besancon970@vtxnet.ch,Master,Alte Buchserstrasse 9b,Dällikon,8108,ZH
2020-01-01,2020-12-31,Direction,CDI,5,EC-885Tv8732,Alain,Corboz,1960-08-20,+41 (0)82 245 39 09,acorboz@yahoo.fr,Secondary,Fichtenstrasse 36,Uzwil,9240,SG
2020-01-01,2020-06-30,Ventes,externe,1,EC-511Cg1109,Monique,Mercier,1990-10-06,047 281 98 17,m.mercier@sunrise.ch,Bachelor,Chemin des Prés 2,Corgémont,2606,BE
2020-01-01,2020-06-30,Ressources humaines,externe,1,EC-087Vf7171,Sophie,Vuille,1966-05-08,+41 88 557 04 99,s.vuille@vtxnet.ch,Master,Dorfstrasse 3b,Gals,3238,BE
2020-01-01,2020-12-31,Relations client,CDD,3,EC-125tF7411,Sandrine,Corpataux,1977-11-21,+41 (0)63 879 51 68,sandrinecorpataux@bluewin.ch,Master,Grütlimatte 42,Einsiedeln,8840,SZ
2020-01-01,2020-12-31,Infrastructure,CDD,2,EC-005Py3892,Léo,Niquille,1981-05-31,+41 (0)29 134 79 28,l.niquille@yahoo.fr,Master,Oberrütelistrasse 16,Mollis,8753,GL
2020-01-01,2020-12-31,Relations client,CDI,1,EC-623gP609,Daniel,Diesbach,1964-10-04,020 533 01 08,d_diesbach268@vtxnet.ch,Secondary,Im Halt 6,Gebenstorf,5412,AG
2020-12-31,2021-12-30,Relations client,CDI,1,EC-623gP609,Daniel,Diesbach,1964-10-04,020 533 01 08,d_diesbach268@vtxnet.ch,Secondary,Im Halt 6,Gebenstorf,5412,AG
2020-01-01,2020-06-30,Analytique,externe,1,EC-971wx8578,Jonathan,Jacot-Guillarmod,1998-07-13,+41 (0)46 001 17 93,jonathan_jacot-guillarmod@bluewin.ch,Bachelor,Schottikerstrasse 46.3,Elsau,8352,ZH
2020-01-01,2020-12-31,Relations client,CDI,1,EC-886hg804,Monique,Cousin,1996-09-21,052 388 04 62,monique.cousin160@sunrise.ch,Bachelor,Rue de Morges 24,Crissier,1023,VD
2020-01-01,2020-12-31,Ressources humaines,CDI,1,EC-350wy5714,Jean-Claude,Carraux,1991-06-22,+41 (0)73 474 07 10,j_carraux868@hotmail.fr,Bachelor,Türlen 1.1,Hausen am Albis,8915,ZH
2020-12-31,2021-12-30,Ressources humaines,CDI,1,EC-350wy5714,Jean-Claude,Carraux,1991-06-22,+41 (0)73 474 07 10,j_carraux868@hotmail.fr,Bachelor,Türlen 1.1,Hausen am Albis,8915,ZH
2021-12-30,2022-12-29,Ressources humaines,CDI,2,EC-350wy5714,Jean-Claude,Carraux,1991-06-22,+41 (0)73 474 07 10,j_carraux868@hotmail.fr,Bachelor,Türlen 1.1,Hausen am Albis,8915,ZH
2020-01-01,2020-12-31,Relations client,CDD,2,EC-039lF9175,Claude,Beuret,1971-12-05,+41 34 862 86 49,claude.beuret@romandie.com,Master,Hornerweg 6.2,Oberstammheim,8477,ZH
2020-01-01,2020-12-31,Relations client,CDD,1,EC-445pX223,Vincent,Rey,1989-09-27,+41 (0)25 092 09 21,v_rey@bluewin.ch,Secondary,Hündlerstrasse 83b,Winterthur,8406,ZH
2020-01-01,2020-12-31,Relations client,CDI,2,EC-373JR1568,Anne,Delèze,1997-07-04,+41 35 707 65 86,a.deleze88@hotmail.fr,Secondary,Untere Betliserstrasse 10.1,Weesen,8872,SG
2020-12-31,2021-12-30,Relations client,CDI,2,EC-373JR1568,Anne,Delèze,1997-07-04,+41 35 707 65 86,a.deleze88@hotmail.fr,Secondary,Untere Betliserstrasse 10.1,Weesen,8872,SG
2020-01-01,2020-12-31,Ressources humaines,CDI,3,EC-903Xo1831,Marianne,Vonlanthen,1994-05-09,+41 (0)88 796 30 09,mvonlanthen665@sunrise.ch,Master,Chemin du Collège 14,Naz,1041,VD
2020-12-31,2021-12-30,Ressources humaines,CDI,3,EC-903Xo1831,Marianne,Vonlanthen,1994-05-09,+41 (0)88 796 30 09,mvonlanthen665@sunrise.ch,Master,Chemin du Collège 14,Naz,1041,VD
2020-01-01,2020-03-31,Informatique,stage,1,EC-678hS7486,Lucas,Botteron,1962-01-27,+41 (0)51 344 40 94,lucas.botteron509@hotmail.fr,Master,Hauptstrasse 3,Villigen,5234,AG
2020-01-01,2020-12-31,Analytique,CDI,2,EC-174ox9504,Anne,Chatriant,1997-03-11,034 459 38 01,anne.chatriant@sunrise.ch,Master,Turicaphonstrasse 11,Riedikon,8616,ZH
2020-01-01,2020-12-31,Relations client,CDI,4,EC-655cE6961,Fabienne,Botteron,2002-09-13,074 109 18 28,fbotteron@gmail.com,Secondary,Im Löh 3,Mülligen,5243,AG
2020-12-31,2021-12-30,Relations client,CDI,4,EC-655cE6961,Fabienne,Botteron,2002-09-13,074 109 18 28,fbotteron@gmail.com,Secondary,Im Löh 3,Mülligen,5243,AG
2020-01-01,2020-06-30,Relations client,externe,1,EC-647ny8338,Luca,Monnet,1984-06-05,+41 (0)86 948 37 85,l_monnet482@romandie.com,Bachelor,Schmiedmatte 2.1,Nottwil,6207,LU
2020-01-01,2020-12-31,Relations client,CDD,4,EC-687Bk3153,François,Monnet,1995-12-03,074 490 27 32,francois_monnet143@vtxnet.ch,Secondary,Rue de la Gare 1b,Gland,1196,VD
2020-12-31,2021-12-30,Relations client,CDI,4,EC-687Bk3153,François,Monnet,1995-12-03,074 490 27 32,francois_monnet143@vtxnet.ch,Secondary,Rue de la Gare 1b,Gland,1196,VD
2021-12-30,2022-12-29,Relations client,CDI,4,EC-687Bk3153,François,Monnet,1995-12-03,074 490 27 32,francois_monnet143@vtxnet.ch,Secondary,Rue de la Gare 1b,Gland,1196,VD
2022-12-29,2023-12-28,Relations client,CDI,4,EC-687Bk3153,François,Monnet,1995-12-03,074 490 27 32,francois_monnet143@vtxnet.ch,Secondary,Rue de la Gare 1b,Gland,1196,VD
2020-01-01,2020-12-31,Ventes,CDI,1,EC-011Qy466,André,Vallélian,1988-10-26,048 606 46 33,andre_vallelian@romandie.com,Bachelor,Mettmen 2,Niederurnen,8867,GL
2020-12-31,2021-12-30,Ventes,CDI,1,EC-011Qy466,André,Vallélian,1988-10-26,048 606 46 33,andre_vallelian@romandie.com,Bachelor,Mettmen 2,Niederurnen,8867,GL
2020-01-01,2020-12-31,Ressources humaines,CDD,2,EC-831AK6955,Stéphane,Grosjean,1963-07-28,+41 57 875 63 60,s_grosjean@romandie.com,Bachelor,Lindenhubelweg 1b,Brittnau,4805,AG
2020-12-31,2021-12-30,Ressources humaines,CDI,3,EC-831AK6955,Stéphane,Grosjean,1963-07-28,+41 57 875 63 60,s_grosjean@romandie.com,Bachelor,Lindenhubelweg 1b,Brittnau,4805,AG
2021-12-30,2022-12-29,Ressources humaines,CDI,3,EC-831AK6955,Stéphane,Grosjean,1963-07-28,+41 57 875 63 60,s_grosjean@romandie.com,Bachelor,Lindenhubelweg 1b,Brittnau,4805,AG
2020-01-01,2020-12-31,Ressources humaines,CDD,1,EC-222ym8812,Françoise,Rosselet,2000-10-24,+41 (0)28 973 45 71,f_rosselet796@hotmail.fr,Master,Langrütistrasse 101a,Dürnten,8635,ZH
2020-01-01,2020-12-31,Ventes,CDI,4,EC-316VM721,Lucas,Dubey,2001-03-21,079 359 95 92,ldubey98@romandie.com,Doctorate,Rainstrasse 6,Neuheim,6345,ZG
2020-12-31,2021-12-30,Ventes,CDI,4,EC-316VM721,Lucas,Dubey,2001-03-21,079 359 95 92,ldubey98@romandie.com,Doctorate,Rainstrasse 6,Neuheim,6345,ZG
2020-01-01,2020-12-31,Informatique,CDD,1,EC-363RL4232,Thierry,Carron,1983-12-11,+41 65 098 81 52,tcarron244@bluewin.ch,Secondary,Münzentalstrasse 41,Hausen AG,5212,AG
2020-01-01,2020-12-31,Analytique,CDI,3,EC-592kn9707,Luca,Bovet,1978-01-11,+41 (0)78 281 01 68,l.bovet839@bluewin.ch,Master,Alte Gerlafingenstrasse 8,Biberist,4562,SO
2020-12-31,2021-12-30,Analytique,CDI,3,EC-592kn9707,Luca,Bovet,1978-01-11,+41 (0)78 281 01 68,l.bovet839@bluewin.ch,Master,Alte Gerlafingenstrasse 8,Biberist,4562,SO
2021-12-30,2022-12-29,Analytique,CDI,3,EC-592kn9707,Luca,Bovet,1978-01-11,+41 (0)78 281 01 68,l.bovet839@bluewin.ch,Master,Alte Gerlafingenstrasse 8,Biberist,4562,SO
2022-12-29,2023-12-28,Analytique,CDI,3,EC-592kn9707,Luca,Bovet,1978-01-11,+41 (0)78 281 01 68,l.bovet839@bluewin.ch,Master,Alte Gerlafingenstrasse 8,Biberist,4562,SO
2023-12-28,,Analytique,CDI,3,EC-592kn9707,Luca,Bovet,1978-01-11,+41 (0)78 281 01 68,l.bovet839@bluewin.ch,Master,Alte Gerlafingenstrasse 8,Biberist,4562,SO
2020-01-01,2020-06-30,Ventes,externe,1,EC-758zo8053,Florian,Brandt,1991-07-23,037 582 47 58,f.brandt@hotmail.fr,Bachelor,Hubel 95a,Plasselb,1737,FR
2020-06-30,2021-06-29,Ventes,CDI,2,EC-758zo8053,Florian,Brandt,1991-07-23,037 582 47 58,f.brandt@hotmail.fr,Bachelor,Hubel 95a,Plasselb,1737,FR
2021-06-29,2022-06-28,Ventes,CDI,3,EC-758zo8053,Florian,Brandt,1991-07-23,037 582 47 58,f.brandt@hotmail.fr,Bachelor,Hubel 95a,Plasselb,1737,FR
